shieldcharacter,attackcharacter,movehitbox,charmovehitbox,shieldadvantage,shieldadvantageforcalculation,correctstartup,correctrow,randomrow1,randomrow2,randomrow3,totalnumberofchoices,correct,randomchoice1,randomchoice2,randomchoice3,choiceA,choiceB,choiceC,choiceD,correctindex,explanation,Column 1
Squirtle,Pyra,Ftilt (Early Hit),Pyra Ftilt (Early Hit),-10,10,10,5,8,6,9,10,Shield Grab,Fair/Up Air,Down Smash,F Smash,F Smash,Shield Grab,Fair/Up Air,Down Smash,B,Move is -10 on shield. Shield Grab comes out on frame 10.,1.1
Ivysaur,Pyra,Ftilt (Early Hit),Pyra Ftilt (Early Hit),-10,10,10,2,9,8,4,9,Nair,Shield Grab/Fair,F Smash/Up Smash,Dtilt/Dash Attack,Nair,F Smash/Up Smash,Dtilt/Dash Attack,Shield Grab/Fair,A,Move is -10 on shield. Nair comes out on frame 10.,1.1
Charizard,Pyra,Ftilt (Early Hit),Pyra Ftilt (Early Hit),-10,10,9,3,1,4,9,11,Up B,Fair/Nair,No Guaranteed Punish,Jab,No Guaranteed Punish,Jab,Fair/Nair,Up B,D,Move is -10 on shield. Up B comes out on frame 9.,1.1
Palutena,Pyra,Ftilt (Early Hit),Pyra Ftilt (Early Hit),-10,10,8,2,4,1,8,11,Nair,Dash Attack,Down Smash,Up Smash,Down Smash,Up Smash,Nair,Dash Attack,C,Move is -10 on shield. Nair comes out on frame 8.,1.1
Duck Hunt,Pyra,Ftilt (Early Hit),Pyra Ftilt (Early Hit),-10,10,10,3,6,8,7,10,Shield Grab/Fair,No Guaranteed Punish,Nair,Jab,No Guaranteed Punish,Jab,Nair,Shield Grab/Fair,D,Move is -10 on shield. Shield Grab/Fair comes out on frame 10.,1.1
Pyra,Pyra,Ftilt (Early Hit),Pyra Ftilt (Early Hit),-10,10,0,1,7,6,12,12,No Guaranteed Punish,Shield Grab,Up Tilt (Last Frame),Dair/Dtilt,No Guaranteed Punish,Up Tilt (Last Frame),Shield Grab,Dair/Dtilt,A,Move is -10 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Mythra,Pyra,Ftilt (Early Hit),Pyra Ftilt (Early Hit),-10,10,10,3,9,4,10,10,Up B/Shield Grab,Dash Attack/Neutral B,Dair/Dtilt,Jab,Dair/Dtilt,Up B/Shield Grab,Jab,Dash Attack/Neutral B,B,Move is -10 on shield. Up B/Shield Grab comes out on frame 10.,1.1
Mario,Pyra,Up Tilt,Pyra Up Tilt,-19,19,17,9,4,1,3,10,Dash Attack,Ftilt/Up Tilt/Dtilt/Down Smash,Nair,Up Smash (final hitbox),Ftilt/Up Tilt/Dtilt/Down Smash,Nair,Dash Attack,Up Smash (final hitbox),C,Move is -19 on shield. Dash Attack comes out on frame 17.,1.1
Donkey Kong,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,7,10,5,13,14,Up B (Ground),Dash Attack,F Smash,Fair (Latest Hit),Fair (Latest Hit),F Smash,Dash Attack,Up B (Ground),D,Move is -19 on shield. Up B (Ground) comes out on frame 19.,1.1
Link,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,6,11,9,3,11,Fair,Down Smash/Up Tilt (Latest Hit),Up B,Jab,Up B,Jab,Down Smash/Up Tilt (Latest Hit),Fair,D,Move is -19 on shield. Fair comes out on frame 19.,1.1
Samus,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,6,7,1,4,11,Shield Grab/Dash Attack/Ftilt,Up B,Dtilt,Nair/Up Smash,Dtilt,Shield Grab/Dash Attack/Ftilt,Nair/Up Smash,Up B,B,Move is -19 on shield. Shield Grab/Dash Attack/Ftilt comes out on frame 19.,1.1
Yoshi,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,7,4,10,9,10,Up Tilt/Dtilt/Dair,Up Smash,Nair,Ftilt,Up Smash,Nair,Ftilt,Up Tilt/Dtilt/Dair,D,Move is -19 on shield. Up Tilt/Dtilt/Dair comes out on frame 19.,1.1
Kirby,Pyra,Up Tilt,Pyra Up Tilt,-19,19,18,8,10,1,5,11,Down Smash,Dtilt,F Smash,Up Tilt (Latest Hit)/Dair/Neutral B,Up Tilt (Latest Hit)/Dair/Neutral B,F Smash,Down Smash,Dtilt,C,Move is -19 on shield. Down Smash comes out on frame 18.,1.1
Fox,Pyra,Up Tilt,Pyra Up Tilt,-19,19,18,9,2,1,10,10,Dtilt/Up Tilt (Latest Hit),Jab,Dash Attack,Shield Grab/Fair,Dash Attack,Shield Grab/Fair,Jab,Dtilt/Up Tilt (Latest Hit),D,Move is -19 on shield. Dtilt/Up Tilt (Latest Hit) comes out on frame 18.,1.1
Pikachu,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,9,1,4,7,11,Down Smash,Dash Attack/Dair/Ftilt,Jab,F Smash,F Smash,Dash Attack/Dair/Ftilt,Jab,Down Smash,D,Move is -19 on shield. Down Smash comes out on frame 19.,1.1
Luigi,Pyra,Up Tilt,Pyra Up Tilt,-19,19,18,9,1,3,10,11,Shield Grab,Up B/Up Air,Fair,Up Tilt/Dtilt/Ftilt,Up B/Up Air,Up Tilt/Dtilt/Ftilt,Shield Grab,Fair,C,Move is -19 on shield. Shield Grab comes out on frame 18.,1.1
Ness,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,8,6,10,1,11,Dash Attack,Up Smash/Shield Grab/Down B (Air),Fair/Up Air,Up Tilt,Up Tilt,Up Smash/Shield Grab/Down B (Air),Dash Attack,Fair/Up Air,C,Move is -19 on shield. Dash Attack comes out on frame 19.,1.1
Captain Falcon,Pyra,Up Tilt,Pyra Up Tilt,-19,19,18,5,3,2,1,11,Dash Attack/Ftilt,F Smash/Down Smash,Dair,Side B (Earliest Hit),F Smash/Down Smash,Dair,Side B (Earliest Hit),Dash Attack/Ftilt,D,Move is -19 on shield. Dash Attack/Ftilt comes out on frame 18.,1.1
Jigglypuff,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,8,2,9,5,12,Up Smash (Latest Hit),No Guaranteed Punish,Dtilt,Ftilt,Dtilt,Up Smash (Latest Hit),No Guaranteed Punish,Ftilt,B,Move is -19 on shield. Up Smash (Latest Hit) comes out on frame 19.,1.1
Min Min,Pyra,Up Tilt,Pyra Up Tilt,-19,19,18,6,1,8,4,10,Dash Attack,Ram Ram Nair,No Guaranteed Punish,Dtilt,Ram Ram Nair,Dash Attack,Dtilt,No Guaranteed Punish,B,Move is -19 on shield. Dash Attack comes out on frame 18.,1.1
Peach,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,11,8,12,1,12,Dtilt/Fair,Dair,No Guaranteed Punish,Ftilt,Dtilt/Fair,Ftilt,Dair,No Guaranteed Punish,A,Move is -19 on shield. Dtilt/Fair comes out on frame 19.,1.1
Roy,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,10,7,4,3,12,Ftilt/Dair,Shield Grab,Up Smash,Fair,Ftilt/Dair,Fair,Shield Grab,Up Smash,A,Move is -19 on shield. Ftilt/Dair comes out on frame 19.,1.1
Chrom,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,10,4,2,5,12,Ftilt/Dair,Up Air,Nair,Fair/Up B,Fair/Up B,Nair,Ftilt/Dair,Up Air,C,Move is -19 on shield. Ftilt/Dair comes out on frame 19.,1.1
Squirtle,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,8,4,3,1,10,Dtilt/Dash Attack/Up Smash,Down Smash,Fair/Up Air,Jab,Fair/Up Air,Dtilt/Dash Attack/Up Smash,Jab,Down Smash,B,Move is -19 on shield. Dtilt/Dash Attack/Up Smash comes out on frame 19.,1.1
Ivysaur,Pyra,Up Tilt,Pyra Up Tilt,-19,19,18,6,4,1,2,9,Jab,Dtilt/Dash Attack,Nair,Down Smash,Dtilt/Dash Attack,Jab,Down Smash,Nair,B,Move is -19 on shield. Jab comes out on frame 18.,1.1
Charizard,Pyra,Up Tilt,Pyra Up Tilt,-19,19,15,6,3,9,1,11,Jab,Ftilt,Fair/Nair,Up Smash,Up Smash,Fair/Nair,Jab,Ftilt,C,Move is -19 on shield. Jab comes out on frame 15.,1.1
Palutena,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,8,9,10,2,11,Jab/Up Tilt,Fair,F Smash,Shield Grab,Fair,F Smash,Shield Grab,Jab/Up Tilt,D,Move is -19 on shield. Jab/Up Tilt comes out on frame 19.,1.1
Duck Hunt,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,7,3,9,1,10,Ftilt,Dair/Dtilt,Jab,No Guaranteed Punish,Dair/Dtilt,No Guaranteed Punish,Jab,Ftilt,D,Move is -19 on shield. Ftilt comes out on frame 19.,1.1
Pyra,Pyra,Up Tilt,Pyra Up Tilt,-19,19,15,5,12,3,8,12,Up Smash,Side B,Dair/Dtilt,F Smash,Side B,Up Smash,F Smash,Dair/Dtilt,B,Move is -19 on shield. Up Smash comes out on frame 15.,1.1
Mythra,Pyra,Up Tilt,Pyra Up Tilt,-19,19,19,7,2,8,9,10,Ftilt/Down Smash,F Smash,Up Smash,Dair/Dtilt,F Smash,Up Smash,Ftilt/Down Smash,Dair/Dtilt,C,Move is -19 on shield. Ftilt/Down Smash comes out on frame 19.,1.1
Mario,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,5,6,9,10,10,Shield Grab,Up Air,Ftilt/Up Tilt/Dtilt/Down Smash,Nair,Up Air,Nair,Ftilt/Up Tilt/Dtilt/Down Smash,Shield Grab,D,Move is -11 on shield. Shield Grab comes out on frame 10.,1.1
Donkey Kong,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,2,7,9,6,14,Shield Grab,Neutral B (Full Charge),Dtilt/Dair,Fair (Latest Hit),Neutral B (Full Charge),Shield Grab,Dtilt/Dair,Fair (Latest Hit),B,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Link,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,3,7,11,9,11,Shield Grab/Nair/Up Smash,No Guaranteed Punish,Ftilt,F Smash,Shield Grab/Nair/Up Smash,F Smash,No Guaranteed Punish,Ftilt,A,Move is -11 on shield. Shield Grab/Nair/Up Smash comes out on frame 10.,1.1
Samus,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,3,8,11,5,11,Nair/Up Smash,Dtilt,Jab,Neutral B,Dtilt,Jab,Nair/Up Smash,Neutral B,C,Move is -11 on shield. Nair/Up Smash comes out on frame 11.,1.1
Yoshi,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,3,1,8,5,10,Up Smash,Ftilt,Nair,Jab,Ftilt,Nair,Up Smash,Jab,C,Move is -11 on shield. Up Smash comes out on frame 11.,1.1
Kirby,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,3,9,4,7,11,Nair/Up Air,Shield Grab,Up Smash,Down Smash,Up Smash,Down Smash,Nair/Up Air,Shield Grab,C,Move is -11 on shield. Nair/Up Air comes out on frame 11.,1.1
Fox,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,5,2,7,8,10,Shield Grab/Fair,Jab,Down Smash,Dash Attack,Jab,Down Smash,Dash Attack,Shield Grab/Fair,D,Move is -11 on shield. Shield Grab/Fair comes out on frame 10.,1.1
Pikachu,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,4,10,5,6,11,Shield Grab/Up Air (Latest Hit),Nair,Jab,Dtilt,Jab,Nair,Shield Grab/Up Air (Latest Hit),Dtilt,C,Move is -11 on shield. Shield Grab/Up Air (Latest Hit) comes out on frame 11.,1.1
Luigi,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,4,11,5,9,11,Fair,Side B,Nair,Shield Grab,Shield Grab,Side B,Fair,Nair,C,Move is -11 on shield. Fair comes out on frame 10.,1.1
Ness,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,4,5,7,9,11,Fair/Up Air,No Guaranteed Punish,Up Tilt,Up Smash/Shield Grab/Down B (Air),No Guaranteed Punish,Up Smash/Shield Grab/Down B (Air),Up Tilt,Fair/Up Air,D,Move is -11 on shield. Fair/Up Air comes out on frame 11.,1.1
Captain Falcon,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,2,9,10,11,11,Shield Grab/Nair/Up Air,Up B (Ground)/Jab,No Guaranteed Punish,Dash Attack/Ftilt,No Guaranteed Punish,Up B (Ground)/Jab,Dash Attack/Ftilt,Shield Grab/Nair/Up Air,D,Move is -11 on shield. Shield Grab/Nair/Up Air comes out on frame 10.,1.1
Jigglypuff,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,5,12,6,10,12,Fair,Ftilt,No Guaranteed Punish,Down B (Air),Fair,No Guaranteed Punish,Down B (Air),Ftilt,A,Move is -11 on shield. Fair comes out on frame 11.,1.1
Min Min,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,3,8,6,5,10,Ram Ram Nair,F Smash,Dash Attack,No Guaranteed Punish,Ram Ram Nair,F Smash,Dash Attack,No Guaranteed Punish,A,Move is -11 on shield. Ram Ram Nair comes out on frame 11.,1.1
Peach,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,5,12,8,9,12,Shield Grab,Ftilt,Up Smash,Up B,Ftilt,Shield Grab,Up Smash,Up B,B,Move is -11 on shield. Shield Grab comes out on frame 10.,1.1
Roy,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,4,9,1,12,12,Shield Grab,Up Air,Nair/Up B,Ftilt/Dair,Ftilt/Dair,Up Air,Nair/Up B,Shield Grab,D,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Chrom,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,4,6,10,1,12,Shield Grab,Up Smash,No Guaranteed Punish,Nair,Nair,Up Smash,Shield Grab,No Guaranteed Punish,C,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Squirtle,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,5,7,8,2,10,Shield Grab,Jab,No Guaranteed Punish,Up B/Dair,Jab,No Guaranteed Punish,Shield Grab,Up B/Dair,C,Move is -11 on shield. Shield Grab comes out on frame 10.,1.1
Ivysaur,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,2,9,4,5,9,Nair,Ftilt,F Smash/Up Smash,Dair,Nair,Dair,F Smash/Up Smash,Ftilt,A,Move is -11 on shield. Nair comes out on frame 10.,1.1
Charizard,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,4,5,1,10,11,Fair/Nair,Up B,Shield Grab,Down Smash,Shield Grab,Down Smash,Fair/Nair,Up B,C,Move is -11 on shield. Fair/Nair comes out on frame 11.,1.1
Palutena,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,3,9,6,11,11,Shield Grab,Nair,Ftilt/Dtilt,Dair,Dair,Ftilt/Dtilt,Shield Grab,Nair,C,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Duck Hunt,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,10,3,7,4,8,10,Shield Grab/Fair,Jab,Ftilt,Down Smash,Jab,Ftilt,Shield Grab/Fair,Down Smash,C,Move is -11 on shield. Shield Grab/Fair comes out on frame 10.,1.1
Pyra,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,2,6,5,10,12,Shield Grab,Up B,No Guaranteed Punish,Up Tilt (Last Frame),Shield Grab,No Guaranteed Punish,Up B,Up Tilt (Last Frame),A,Move is -11 on shield. Shield Grab comes out on frame 11.,1.1
Mythra,Pyra,Dtilt (Close Hit),Pyra Dtilt (Close Hit),-11,11,11,4,2,7,1,10,Nair/Fair,No Guaranteed Punish,Ftilt/Down Smash,Up Tilt (Last Frame),Nair/Fair,Ftilt/Down Smash,Up Tilt (Last Frame),No Guaranteed Punish,A,Move is -11 on shield. Nair/Fair comes out on frame 11.,1.1
Mario,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,7,4,6,1,7,10,Up Air,Shield Grab,Ftilt/Up Tilt/Dtilt/Down Smash,Nair,Ftilt/Up Tilt/Dtilt/Down Smash,Nair,Up Air,Shield Grab,C,Move is -9 on shield. Up Air comes out on frame 7.,1.1
Donkey Kong,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,0,1,3,12,11,14,No Guaranteed Punish,Jab/Up Tilt,Nair,Up B (Ground),Up B (Ground),No Guaranteed Punish,Nair,Jab/Up Tilt,B,Move is -9 on shield. Donkey Kong does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Link,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,7,2,6,1,8,11,Up B,Dash Attack,Jab,Dair,Dash Attack,Up B,Dair,Jab,B,Move is -9 on shield. Up B comes out on frame 7.,1.1
Samus,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,4,2,11,8,3,11,Up B,F Smash,Dtilt,Dair (Meteor),Dair (Meteor),Up B,F Smash,Dtilt,B,Move is -9 on shield. Up B comes out on frame 4.,1.1
Yoshi,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,6,2,1,8,5,10,Nair,Down Smash/Down B/Shield Grab,F Smash,Dash Attack,Dash Attack,Nair,F Smash,Down Smash/Down B/Shield Grab,B,Move is -9 on shield. Nair comes out on frame 6.,1.1
Kirby,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,0,1,4,10,5,11,No Guaranteed Punish,Shield Grab,Nair/Up Air,Dtilt,Dtilt,Nair/Up Air,No Guaranteed Punish,Shield Grab,C,Move is -9 on shield. Kirby does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Fox,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,8,4,2,10,7,10,Up Smash/Dair,Down B (Air),F Smash,No Guaranteed Punish,No Guaranteed Punish,Down B (Air),F Smash,Up Smash/Dair,D,Move is -9 on shield. Up Smash/Dair comes out on frame 8.,1.1
Pikachu,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,6,2,3,6,1,11,Nair,Up Tilt (Latest Hit),Dash Attack/Dair/Ftilt,Shield Grab/Up Air (Latest Hit),Nair,Dash Attack/Dair/Ftilt,Up Tilt (Latest Hit),Shield Grab/Up Air (Latest Hit),A,Move is -9 on shield. Nair comes out on frame 6.,1.1
Luigi,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,8,3,8,11,6,11,Up B/Up Air,No Guaranteed Punish,F Smash,Shield Grab,F Smash,Up B/Up Air,Shield Grab,No Guaranteed Punish,B,Move is -9 on shield. Up B/Up Air comes out on frame 8.,1.1
Ness,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,8,2,10,7,11,11,Nair,No Guaranteed Punish,Ftilt,Dair/Side B (Air),Ftilt,Nair,No Guaranteed Punish,Dair/Side B (Air),B,Move is -9 on shield. Nair comes out on frame 8.,1.1
Captain Falcon,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,0,1,3,2,6,11,No Guaranteed Punish,Up B (Air)/Fair,Up Smash/Dtilt,Dair,Dair,No Guaranteed Punish,Up Smash/Dtilt,Up B (Air)/Fair,B,Move is -9 on shield. Captain Falcon does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Jigglypuff,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,9,3,4,10,1,12,Nair,Dtilt,No Guaranteed Punish,Shield Grab/Dair,Shield Grab/Dair,Nair,No Guaranteed Punish,Dtilt,B,Move is -9 on shield. Nair comes out on frame 9.,1.1
Min Min,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,8,2,1,7,6,10,Up Smash,Shield Grab,Down Smash,Ftilt,Up Smash,Shield Grab,Down Smash,Ftilt,A,Move is -9 on shield. Up Smash comes out on frame 8.,1.1
Peach,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,8,4,11,7,8,12,Nair/Turnip Throw (Forward),Dair,Up B,Dash Attack/Down Smash,Dash Attack/Down Smash,Dair,Nair/Turnip Throw (Forward),Up B,C,Move is -9 on shield. Nair/Turnip Throw (Forward) comes out on frame 8.,1.1
Roy,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,9,3,4,1,10,12,Nair/Up B,No Guaranteed Punish,Shield Grab,Dtilt,Dtilt,No Guaranteed Punish,Shield Grab,Nair/Up B,D,Move is -9 on shield. Nair/Up B comes out on frame 9.,1.1
Chrom,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,9,3,11,1,9,12,Nair,Side B,Up Tilt/Down Smash,Dash Attack/F Smash,Nair,Up Tilt/Down Smash,Dash Attack/F Smash,Side B,A,Move is -9 on shield. Nair comes out on frame 9.,1.1
Squirtle,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,9,4,5,6,1,10,Up B/Dair,Jab,Ftilt,No Guaranteed Punish,Jab,No Guaranteed Punish,Ftilt,Up B/Dair,D,Move is -9 on shield. Up B/Dair comes out on frame 9.,1.1
Ivysaur,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,0,1,5,4,3,9,No Guaranteed Punish,Jab,Down Smash,Dtilt/Dash Attack,Dtilt/Dash Attack,No Guaranteed Punish,Jab,Down Smash,B,Move is -9 on shield. Ivysaur does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Charizard,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,9,3,6,4,5,11,Up B,Jab,Ftilt,Dtilt/Up Tilt,Dtilt/Up Tilt,Up B,Jab,Ftilt,B,Move is -9 on shield. Up B comes out on frame 9.,1.1
Palutena,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,8,2,5,4,10,11,Nair,F Smash,Jab/Up Tilt,Dash Attack,Dash Attack,Jab/Up Tilt,F Smash,Nair,D,Move is -9 on shield. Nair comes out on frame 8.,1.1
Duck Hunt,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,9,2,10,3,9,10,Nair,Jab,Side B/F Smash,Dair/Dtilt,Nair,Dair/Dtilt,Side B/F Smash,Jab,A,Move is -9 on shield. Nair comes out on frame 9.,1.1
Pyra,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,0,1,7,5,3,12,No Guaranteed Punish,Side B,Dair/Dtilt,Neutral B,Neutral B,Dair/Dtilt,Side B,No Guaranteed Punish,D,Move is -9 on shield. Pyra does not have a fast enough out of shield option to get a guaranteed punish.,1.1
Mythra,Pyra,Dtilt (Far Hit),Pyra Dtilt (Far Hit),-9,9,9,2,1,8,5,10,Up Smash,Jab,Dash Attack/Neutral B,Up B/Shield Grab,Up B/Shield Grab,Up Smash,Jab,Dash Attack/Neutral B,B,Move is -9 on shield. Up Smash comes out on frame 9.,1.1
Mario,Pyra,Dash Attack,Pyra Dash Attack,-18,18,17,9,5,7,3,10,Dash Attack,Up Air,Up Smash (final hitbox),F Smash,Up Smash (final hitbox),Dash Attack,F Smash,Up Air,B,Move is -18 on shield. Dash Attack comes out on frame 17.,1.1
Donkey Kong,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,6,1,9,13,14,Ftilt,F Smash,Dtilt/Dair,Neutral B (Full Charge),Dtilt/Dair,F Smash,Neutral B (Full Charge),Ftilt,D,Move is -18 on shield. Ftilt comes out on frame 18.,1.1
Link,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,5,10,1,2,11,Jab,Ftilt,Fair,F Smash,F Smash,Ftilt,Fair,Jab,D,Move is -18 on shield. Jab comes out on frame 18.,1.1
Samus,Pyra,Dash Attack,Pyra Dash Attack,-18,18,17,5,6,9,10,11,Dtilt,Neutral B,F Smash,Shield Grab/Dash Attack/Ftilt,F Smash,Neutral B,Dtilt,Shield Grab/Dash Attack/Ftilt,C,Move is -18 on shield. Dtilt comes out on frame 17.,1.1
Yoshi,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,6,9,10,1,10,Down Smash/Down B/Shield Grab,Nair,Jab,Fair (Latest Hit),Fair (Latest Hit),Down Smash/Down B/Shield Grab,Nair,Jab,B,Move is -18 on shield. Down Smash/Down B/Shield Grab comes out on frame 18.,1.1
Kirby,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,8,9,3,6,11,Down Smash,Up Tilt (Latest Hit)/Dair/Neutral B,Up Smash,Nair/Up Air,Up Tilt (Latest Hit)/Dair/Neutral B,Down Smash,Nair/Up Air,Up Smash,B,Move is -18 on shield. Down Smash comes out on frame 18.,1.1
Fox,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,9,6,7,1,10,Dtilt/Up Tilt (Latest Hit),Up Smash/Dair,No Guaranteed Punish,Jab,Up Smash/Dair,Jab,Dtilt/Up Tilt (Latest Hit),No Guaranteed Punish,C,Move is -18 on shield. Dtilt/Up Tilt (Latest Hit) comes out on frame 18.,1.1
Pikachu,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,8,1,2,6,11,Dtilt,Shield Grab/Up Air (Latest Hit),No Guaranteed Punish,Nair,Dtilt,Nair,Shield Grab/Up Air (Latest Hit),No Guaranteed Punish,A,Move is -18 on shield. Dtilt comes out on frame 18.,1.1
Luigi,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,9,10,7,1,11,Shield Grab,Down Smash,F Smash,Up Smash (Latest Hit)/Jab/Dair,Shield Grab,F Smash,Up Smash (Latest Hit)/Jab/Dair,Down Smash,A,Move is -18 on shield. Shield Grab comes out on frame 18.,1.1
Ness,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,7,1,5,4,11,Ftilt,Dair/Side B (Air),F Smash,Nair,Dair/Side B (Air),F Smash,Ftilt,Nair,C,Move is -18 on shield. Ftilt comes out on frame 18.,1.1
Captain Falcon,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,5,11,7,6,11,Dash Attack/Ftilt,Down B,Up Tilt (Latest Hit),Up B (Air)/Fair,Dash Attack/Ftilt,Up Tilt (Latest Hit),Down B,Up B (Air)/Fair,A,Move is -18 on shield. Dash Attack/Ftilt comes out on frame 18.,1.1
Jigglypuff,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,7,11,5,12,12,Ftilt,Nair,Down B (Air),Up Smash (Latest Hit),Nair,Down B (Air),Up Smash (Latest Hit),Ftilt,D,Move is -18 on shield. Ftilt comes out on frame 18.,1.1
Min Min,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,6,4,9,1,10,Dash Attack,Up Smash,F Smash,Jab,Jab,F Smash,Up Smash,Dash Attack,D,Move is -18 on shield. Dash Attack comes out on frame 18.,1.1
Peach,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,10,3,7,4,12,Ftilt,Dash Attack/Down Smash,Shield Grab,Jump Z Drop Turnip (Front),Jump Z Drop Turnip (Front),Shield Grab,Dash Attack/Down Smash,Ftilt,D,Move is -18 on shield. Ftilt comes out on frame 18.,1.1
Roy,Pyra,Dash Attack,Pyra Dash Attack,-18,18,18,9,1,4,5,12,Dtilt,Nair/Up B,Shield Grab,No Guaranteed Punish,No Guaranteed Punish,Nair/Up B,Dtilt,Shield Grab,C,Move is -18 on shield. Dtilt comes out on frame 18.,1.1
